target,channel,price_bin,weekday,hour_bucket,item,segment_checks,item_checks,segment_rate,baseline_rate,lift,lift_clipped,uplift_pp,avg_attach_sum,opportunity_score,expected_value,segment_reliable,segment_rate_ci_low,segment_rate_ci_high
pillow,non_marketplace,10-20k,Суббота,День (12-17),Другая мебель,1516,69,0.0455,0.0223,2.038,2.038,2.32,39148.4,1375708.05,1781.82,1,0.0361,0.0572
mattress,all,30-50k,Среда,День (12-17),Кровать/каркас,341,73,0.2141,0.1103,1.942,1.942,10.38,38813.4,1374114.14,8309.03,1,0.1739,0.2607
pillow,non_marketplace,2-3k,Понедельник,Вечер (18-23),Матрас,898,77,0.0857,0.0156,5.501,5.501,7.02,21807.66,1373930.73,1869.92,1,0.0692,0.1059
mattress,non_marketplace,30-50k,Понедельник,Вечер (18-23),Другая мебель,131,55,0.4198,0.0998,4.207,4.207,32.0,32655.66,1369112.8,13710.39,1,0.3388,0.5055
pillow,marketplace,0-1k,Суббота,Ночь (00-05),Наволочка,58330,4406,0.0755,0.0475,1.589,1.589,2.8,837.1,1366933.66,63.23,1,0.0734,0.0777
pillow,marketplace,1-2k,Четверг,Ночь (00-05),Косметика/гигиена,54145,4499,0.0831,0.0467,1.779,1.779,3.64,693.43,1366156.21,57.62,1,0.0808,0.0854
pillow,all,1-2k,Четверг,Ночь (00-05),Косметика/гигиена,54584,4516,0.0827,0.0467,1.771,1.771,3.6,694.16,1365152.96,57.43,1,0.0805,0.0851
pillow,marketplace,0-1k,Пятница,Утро (06-11),Одеяло,89441,5963,0.0667,0.0527,1.266,1.266,1.4,1088.88,1362741.08,72.6,1,0.0651,0.0683
pillow,non_marketplace,2-3k,Среда,Утро (06-11),Матрас,736,74,0.1005,0.0156,6.45,6.45,8.5,21789.21,1362423.65,2190.76,1,0.0808,0.1244
pillow,non_marketplace,2-3k,Среда,Вечер (18-23),Матрас,820,68,0.0829,0.0156,5.32,5.32,6.73,24668.11,1362125.42,2045.65,1,0.0659,0.1038
mattress,all,30-50k,Суббота,Утро (06-11),Кровать/каркас,227,60,0.2643,0.1103,2.397,2.397,15.41,38914.09,1360909.1,10285.66,1,0.2112,0.3253
pillow,all,0-1k,Суббота,Ночь (00-05),Наволочка,58823,4418,0.0751,0.0475,1.58,1.58,2.76,836.67,1356657.79,62.84,1,0.073,0.0773
pillow,marketplace,0-1k,Суббота,Ночь (00-05),Наматрасник/топпер,58330,1999,0.0343,0.0165,2.081,2.081,1.78,1302.99,1353233.41,44.65,1,0.0328,0.0358
pillow,non_marketplace,10-20k,Суббота,Утро (06-11),Другая мебель,478,32,0.0669,0.0223,2.997,2.997,4.46,63389.17,1351716.61,4243.63,1,0.0478,0.093
pillow,all,5-10k,Воскресенье,Вечер (18-23),Матрас,8972,191,0.0213,0.0156,1.366,1.366,0.57,26410.91,1350836.62,562.25,1,0.0185,0.0245
pillow,all,0-1k,Суббота,Ночь (00-05),Наматрасник/топпер,58823,2003,0.0341,0.0165,2.068,2.068,1.76,1302.12,1346969.56,44.34,1,0.0326,0.0355
pillow,all,0-1k,Среда,Ночь (00-05),Наматрасник/топпер,57480,1966,0.0342,0.0165,2.077,2.077,1.77,1316.07,1341809.93,45.01,1,0.0327,0.0357
pillow,marketplace,0-1k,Среда,Ночь (00-05),Наматрасник/топпер,57000,1958,0.0344,0.0165,2.086,2.086,1.79,1316.15,1341764.58,45.21,1,0.0329,0.0359
mattress,non_marketplace,<20k,Воскресенье,Вечер (18-23),Кровать/каркас,294,103,0.3503,0.1103,3.178,3.178,24.01,18939.64,1336855.54,6635.31,1,0.2981,0.4065
pillow,marketplace,0-1k,Среда,Утро (06-11),Одеяло,88245,5896,0.0668,0.0527,1.268,1.268,1.41,1071.21,1336344.02,71.57,1,0.0652,0.0685
