target,channel_view,channel,mattress_price_bin,price_bin,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_top_3,cross_sell_support_2,cross_sell_support_3,cross_sell_rate_2,cross_sell_rate_3,cross_sell_2_expected_value,cross_sell_3_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_top_3,upsell_support_2,upsell_support_3,upsell_rate_2,upsell_rate_3,upsell_avg_sum_2,upsell_avg_sum_3,mattress_size,mattress_firmness,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_rate_3_ci_low,upsell_rate_3_ci_high
mattress,non_marketplace,non_marketplace,20-30k,20-30k,2609,high,1,Одеяло,Основание/ламели,364,296,0.1395,0.1135,790.95,1117.67,Суббота,День (12-17),2024-08,55620.45,,,,,Кровать/каркас,Основание/ламели,712,296,0.2729,0.1135,28035.41,9851.39,unknown,unknown,0.1268,0.1533,0.1018,0.1262,0.2562,0.2903,0.1018,0.1262
mattress,non_marketplace,non_marketplace,30-50k,30-50k,85,low,1,Наматрасник/топпер,Кровать/каркас,31,27,0.3647,0.3176,2203.93,8954.49,,,,,,,,,Кровать/каркас,Наматрасник/топпер,27,31,0.3176,0.3647,28190.07,6043.03,140x200,unknown,0.2703,0.4708,0.2284,0.4227,0.2284,0.4227,0.2703,0.4708
mattress,non_marketplace,non_marketplace,30-50k,30-50k,743,medium,1,Наматрасник/топпер,Кровать/каркас,400,88,0.5384,0.1184,3977.76,4436.75,,,,,,,,,Другая мебель,Наматрасник/топпер,486,400,0.6541,0.5384,36415.17,7388.69,160x200,unknown,0.5024,0.5739,0.0971,0.1437,0.6192,0.6874,0.5024,0.5739
mattress,non_marketplace,non_marketplace,30-50k,30-50k,377,medium,1,Наматрасник/топпер,Одеяло,192,58,0.5093,0.1538,4108.93,991.64,,,,,,,,,Другая мебель,Наматрасник/топпер,243,192,0.6446,0.5093,39057.9,8068.06,180x200,unknown,0.459,0.5594,0.1209,0.1937,0.595,0.6912,0.459,0.5594
mattress,non_marketplace,non_marketplace,30-50k,30-50k,550,medium,1,Основание/ламели,Одеяло,129,64,0.2345,0.1164,2658.65,893.22,,,,,,,,,Другая мебель,Основание/ламели,42,129,0.0764,0.2345,33407.7,11335.33,unknown,firm,0.201,0.2717,0.0922,0.1459,0.057,0.1016,0.201,0.2717
mattress,non_marketplace,non_marketplace,30-50k,30-50k,250,low,1,Основание/ламели,Другая мебель,100,34,0.4,0.136,3666.69,4763.61,,,,,,,,,Другая мебель,Основание/ламели,34,100,0.136,0.4,35026.55,9166.73,unknown,medium,0.3412,0.4618,0.099,0.184,0.099,0.184,0.3412,0.4618
mattress,non_marketplace,non_marketplace,30-50k,30-50k,2746,high,1,Основание/ламели,Одеяло,503,396,0.1832,0.1442,2378.94,1369.96,Вторник,День (12-17),2024-12,110666.87,Суббота,День (12-17),,0,Кровать/каркас,Основание/ламели,738,503,0.2688,0.1832,38362.53,12987.23,unknown,unknown,0.1692,0.1981,0.1316,0.1578,0.2525,0.2857,0.1692,0.1981
mattress,non_marketplace,non_marketplace,50-100k,50-100k,89,low,1,Другая мебель,Наматрасник/топпер,32,21,0.3596,0.236,18585.34,2591.33,,,,,,,,,Другая мебель,Наматрасник/топпер,32,21,0.3596,0.236,51690.48,10982.3,180x200,unknown,0.2676,0.4631,0.1598,0.3339,0.2676,0.4631,0.1598,0.3339
mattress,non_marketplace,non_marketplace,50-100k,50-100k,527,medium,1,Основание/ламели,Одеяло,104,64,0.1973,0.1214,2476.51,1403.69,,,,,,,,,Основание/ламели,Одеяло,104,64,0.1973,0.1214,12549.26,11558.51,unknown,firm,0.1656,0.2335,0.0963,0.1521,0.1656,0.2335,0.0963,0.1521
mattress,non_marketplace,non_marketplace,50-100k,50-100k,239,low,1,Основание/ламели,Одеяло,75,34,0.3138,0.1423,4679.21,1944.93,,,,,,,,,Основание/ламели,Одеяло,75,34,0.3138,0.1423,14911.09,13671.71,unknown,medium,0.2583,0.3752,0.1036,0.1922,0.2583,0.3752,0.1036,0.1922
mattress,non_marketplace,non_marketplace,50-100k,50-100k,92,low,1,Основание/ламели,Одеяло,16,14,0.1739,0.1522,4757.76,2538.54,,,,,,,,,Другая мебель,Основание/ламели,5,16,0.0543,0.1739,32505.6,27357.11,unknown,soft,0.11,0.264,0.0929,0.2394,0.0234,0.121,0.11,0.264
mattress,non_marketplace,non_marketplace,50-100k,50-100k,1936,high,1,Основание/ламели,Одеяло,447,378,0.2309,0.1952,3828.55,2809.92,Вторник,День (12-17),,111256.31,Вторник,День (12-17),,92317.49,Другая мебель,Основание/ламели,146,447,0.0754,0.2309,50743.89,16581.81,unknown,unknown,0.2127,0.2502,0.1782,0.2135,0.0645,0.088,0.2127,0.2502
mattress,non_marketplace,non_marketplace,100k+,100k+,334,medium,1,Кровать/каркас,Основание/ламели,75,64,0.2246,0.1916,23287.84,8089.41,,,,,,,,,Другая мебель,Основание/ламели,33,64,0.0988,0.1916,89621.08,42216.6,unknown,unknown,0.1831,0.2723,0.153,0.2372,0.0712,0.1355,0.153,0.2372
