target,channel,price_bin,checks_in_segment,rank,item,checks_with_item,attach_rate,attach_revenue_sum,avg_attach_sum,segment_reliable,attach_rate_ci_low,attach_rate_ci_high
pillow,marketplace,5-10k,170312,7,Простыня,2605,0.0153,6451048.67,2476.41,1,0.0147,0.0159
pillow,marketplace,5-10k,170312,8,Наматрасник/топпер,2420,0.0142,7001224.67,2893.07,1,0.0137,0.0148
pillow,marketplace,10-20k,29325,1,Одеяло,1765,0.0602,21051944.36,11927.45,1,0.0575,0.063
pillow,marketplace,10-20k,29325,2,Наволочка,1106,0.0377,7000527.77,6329.59,1,0.0356,0.04
pillow,marketplace,10-20k,29325,3,Косметика/гигиена,763,0.026,1247110.27,1634.48,1,0.0243,0.0279
pillow,marketplace,10-20k,29325,4,Детские товары,458,0.0156,1350198.08,2948.03,1,0.0143,0.0171
pillow,marketplace,10-20k,29325,5,Полотенце,376,0.0128,1501789.22,3994.12,1,0.0116,0.0142
pillow,marketplace,10-20k,29325,6,Простыня,352,0.012,1535457.58,4362.1,1,0.0108,0.0133
pillow,marketplace,10-20k,29325,7,Постельное белье,350,0.0119,3296253.28,9417.87,1,0.0108,0.0132
pillow,marketplace,10-20k,29325,8,Другая мебель,338,0.0115,2513584.26,7436.64,1,0.0104,0.0128
pillow,marketplace,20-30k,3427,1,Одеяло,285,0.0832,5524388.66,19383.82,1,0.0744,0.0929
pillow,marketplace,20-30k,3427,2,Наволочка,138,0.0403,1613972.51,11695.45,1,0.0342,0.0474
pillow,marketplace,20-30k,3427,3,Косметика/гигиена,82,0.0239,181163.34,2209.31,1,0.0193,0.0296
pillow,marketplace,20-30k,3427,4,Детские товары,60,0.0175,247464.46,4124.41,1,0.0136,0.0225
pillow,marketplace,20-30k,3427,5,Постельное белье,60,0.0175,1015154.03,16919.23,1,0.0136,0.0225
pillow,marketplace,20-30k,3427,6,Полотенце,60,0.0175,466733.0,7778.88,1,0.0136,0.0225
pillow,marketplace,20-30k,3427,7,Другая мебель,51,0.0149,699761.58,13720.82,1,0.0113,0.0195
pillow,marketplace,20-30k,3427,8,Наматрасник/топпер,37,0.0108,212740.81,5749.75,1,0.0078,0.0148
pillow,marketplace,30k+,1353,1,Одеяло,152,0.1123,6693160.08,44033.95,1,0.0966,0.1303
pillow,marketplace,30k+,1353,2,Наволочка,69,0.051,1915746.41,27764.44,1,0.0405,0.064
pillow,marketplace,30k+,1353,3,Полотенце,34,0.0251,608015.33,17882.8,1,0.018,0.0349
pillow,marketplace,30k+,1353,4,Постельное белье,26,0.0192,844704.56,32488.64,1,0.0131,0.028
pillow,marketplace,30k+,1353,5,Косметика/гигиена,21,0.0155,52317.28,2491.3,1,0.0102,0.0236
pillow,marketplace,30k+,1353,6,Простыня,20,0.0148,232331.2,11616.56,1,0.0096,0.0227
pillow,marketplace,30k+,1353,7,Наматрасник/топпер,18,0.0133,363935.64,20218.65,1,0.0084,0.0209
pillow,marketplace,30k+,1353,8,Детские товары,15,0.0111,52268.54,3484.57,1,0.0067,0.0182
pillow,non_marketplace,0-1k,48578,1,Одеяло,4668,0.0961,6747646.78,1445.51,1,0.0935,0.0987
pillow,non_marketplace,0-1k,48578,2,Косметика/гигиена,3723,0.0766,2476904.58,665.3,1,0.0743,0.079
pillow,non_marketplace,0-1k,48578,3,Другая мебель,2272,0.0468,28089761.89,12363.45,1,0.0449,0.0487
pillow,non_marketplace,0-1k,48578,4,Постельное белье,1811,0.0373,4460311.13,2462.9,1,0.0356,0.039
pillow,non_marketplace,0-1k,48578,5,Матрас,1804,0.0371,25123001.12,13926.28,1,0.0355,0.0389
pillow,non_marketplace,0-1k,48578,6,Детские товары,1287,0.0265,1040588.59,808.54,1,0.0251,0.028
pillow,non_marketplace,0-1k,48578,7,Наволочка,1232,0.0254,837562.5,679.84,1,0.024,0.0268
pillow,non_marketplace,0-1k,48578,8,Полотенце,1110,0.0228,836698.57,753.78,1,0.0216,0.0242
pillow,non_marketplace,1-2k,44720,1,Одеяло,4144,0.0927,11193857.96,2701.22,1,0.09,0.0954
pillow,non_marketplace,1-2k,44720,2,Косметика/гигиена,3076,0.0688,3076429.26,1000.14,1,0.0665,0.0712
pillow,non_marketplace,1-2k,44720,3,Матрас,2906,0.065,57844646.62,19905.25,1,0.0627,0.0673
pillow,non_marketplace,1-2k,44720,4,Другая мебель,2108,0.0471,42348336.11,20089.34,1,0.0452,0.0491
pillow,non_marketplace,1-2k,44720,5,Постельное белье,1924,0.043,7212518.62,3748.71,1,0.0412,0.0449
pillow,non_marketplace,1-2k,44720,6,Кровать/каркас,1630,0.0364,38567653.74,23661.14,1,0.0348,0.0382
pillow,non_marketplace,1-2k,44720,7,Наволочка,1179,0.0264,1331319.92,1129.19,1,0.0249,0.0279
pillow,non_marketplace,1-2k,44720,8,Наматрасник/топпер,893,0.02,2564331.78,2871.59,1,0.0187,0.0213
pillow,non_marketplace,2-3k,22622,1,Одеяло,2344,0.1036,10132534.41,4322.75,1,0.0997,0.1077
pillow,non_marketplace,2-3k,22622,2,Матрас,2208,0.0976,52750486.62,23890.62,1,0.0938,0.1015
pillow,non_marketplace,2-3k,22622,3,Другая мебель,1269,0.0561,36782735.91,28985.61,1,0.0532,0.0592
pillow,non_marketplace,2-3k,22622,4,Постельное белье,1021,0.0451,5329558.22,5219.94,1,0.0425,0.0479
pillow,non_marketplace,2-3k,22622,5,Кровать/каркас,949,0.042,28017258.06,29522.93,1,0.0394,0.0446
pillow,non_marketplace,2-3k,22622,6,Наматрасник/топпер,583,0.0258,2346268.57,4024.47,1,0.0238,0.0279
pillow,non_marketplace,2-3k,22622,7,Наволочка,582,0.0257,854140.87,1467.6,1,0.0237,0.0279
pillow,non_marketplace,2-3k,22622,8,Косметика/гигиена,560,0.0248,847830.16,1513.98,1,0.0228,0.0269
pillow,non_marketplace,3-5k,20968,1,Матрас,2546,0.1214,72193175.21,28355.53,1,0.1171,0.1259
pillow,non_marketplace,3-5k,20968,2,Одеяло,2515,0.1199,14404446.48,5727.41,1,0.1156,0.1244
pillow,non_marketplace,3-5k,20968,3,Другая мебель,1240,0.0591,37860447.93,30532.62,1,0.056,0.0624
pillow,non_marketplace,3-5k,20968,4,Кровать/каркас,1130,0.0539,35663999.59,31561.06,1,0.0509,0.057
pillow,non_marketplace,3-5k,20968,5,Постельное белье,1087,0.0518,6674195.82,6140.01,1,0.0489,0.0549
pillow,non_marketplace,3-5k,20968,6,Наматрасник/топпер,705,0.0336,3064102.2,4346.24,1,0.0313,0.0361
pillow,non_marketplace,3-5k,20968,7,Наволочка,579,0.0276,1187521.26,2050.99,1,0.0255,0.0299
pillow,non_marketplace,3-5k,20968,8,Простыня,542,0.0258,1698328.52,3133.45,1,0.0238,0.0281
pillow,non_marketplace,5-10k,27891,1,Другая мебель,4158,0.1491,183076778.28,44030.01,1,0.1449,0.1533
pillow,non_marketplace,5-10k,27891,2,Матрас,3708,0.1329,144188001.46,38885.65,1,0.129,0.137
pillow,non_marketplace,5-10k,27891,3,Одеяло,2461,0.0882,22848211.63,9284.12,1,0.085,0.0916
pillow,non_marketplace,5-10k,27891,4,Наматрасник/топпер,1445,0.0518,10941263.82,7571.81,1,0.0493,0.0545
pillow,non_marketplace,5-10k,27891,5,Кровать/каркас,1342,0.0481,49733998.76,37059.61,1,0.0457,0.0507
pillow,non_marketplace,5-10k,27891,6,Постельное белье,855,0.0307,7082017.51,8283.06,1,0.0287,0.0327
pillow,non_marketplace,5-10k,27891,7,Наволочка,710,0.0255,2003227.17,2821.45,1,0.0237,0.0274
pillow,non_marketplace,5-10k,27891,8,Основание/ламели,544,0.0195,7420455.92,13640.54,1,0.0179,0.0212
pillow,non_marketplace,10-20k,17591,1,Матрас,2216,0.126,122289650.85,55184.86,1,0.1212,0.131
pillow,non_marketplace,10-20k,17591,2,Наволочка,1964,0.1116,8719434.65,4439.63,1,0.1071,0.1164
pillow,non_marketplace,10-20k,17591,3,Одеяло,1727,0.0982,25074764.13,14519.26,1,0.0939,0.1027
pillow,non_marketplace,10-20k,17591,4,Другая мебель,759,0.0431,33183876.49,43720.52,1,0.0402,0.0463
pillow,non_marketplace,10-20k,17591,5,Кровать/каркас,744,0.0423,38619166.3,51907.48,1,0.0394,0.0454
pillow,non_marketplace,10-20k,17591,6,Наматрасник/топпер,608,0.0346,6390737.6,10511.08,1,0.032,0.0374
pillow,non_marketplace,10-20k,17591,7,Основание/ламели,475,0.027,8074236.04,16998.39,1,0.0247,0.0295
