target,channel_view,price_bin,mattress_size,mattress_firmness,pillow_size,pillow_type,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_support_2,cross_sell_rate_2,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_2_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross_sell_top_3,cross_sell_support_3,cross_sell_rate_3,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,cross_sell_3_expected_value,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_support_2,upsell_rate_2,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_avg_sum_2,upsell_top_3,upsell_support_3,upsell_rate_3,upsell_rate_3_ci_low,upsell_rate_3_ci_high,upsell_avg_sum_3
pillow,marketplace,1-2k,unknown,unknown,70x70,unknown,368305,high,1,Наволочка,24850,0.0675,0.0667,0.0683,90.37,Суббота,Ночь (00-05),2024-01,100294.71,Постельное белье,21285,0.0578,0.057,0.0586,115.61,Суббота,Ночь (00-05),2025-08,783795.14,Другая мебель,11195,0.0304,0.0298,0.031,2536.97,Постельное белье,21285,0.0578,0.057,0.0586,2000.49
pillow,marketplace,1-2k,unknown,unknown,unknown,anatomic,49207,high,1,Наволочка,1072,0.0218,0.0205,0.0231,30.56,Воскресенье,Вечер (18-23),2024-08,20639.44,Одеяло,896,0.0182,0.0171,0.0194,34.79,Вторник,Утро (06-11),2024-08,14248.07,Одеяло,896,0.0182,0.0171,0.0194,1910.37,Наволочка,1072,0.0218,0.0205,0.0231,1402.88
pillow,marketplace,20-30k,unknown,unknown,unknown,anatomic,256,low,1,Постельное белье,4,0.0156,0.0061,0.0395,614.13,,,,,Одеяло,4,0.0156,0.0061,0.0395,484.23,,,,,Одеяло,4,0.0156,0.0061,0.0395,30990.75,Матрас,1,0.0039,0.0007,0.0218,18964.0
pillow,marketplace,1-2k,unknown,unknown,unknown,down,40053,high,1,Одеяло,1171,0.0292,0.0276,0.0309,60.46,Четверг,Вечер (18-23),2024-05,30153.68,Косметика/гигиена,1051,0.0262,0.0247,0.0279,19.35,Среда,Утро (06-11),2024-02,12686.08,Постельное белье,430,0.0107,0.0098,0.0118,2262.54,Одеяло,1171,0.0292,0.0276,0.0309,2068.05
pillow,marketplace,1-2k,unknown,unknown,unknown,memory,540899,high,1,Детские товары,9213,0.017,0.0167,0.0174,19.05,Суббота,Ночь (00-05),2025-12,176533.98,Наволочка,8729,0.0161,0.0158,0.0165,20.13,Понедельник,Ночь (00-05),2024-07,75946.61,Одеяло,5668,0.0105,0.0102,0.0108,1941.6,Наволочка,8729,0.0161,0.0158,0.0165,1247.25
pillow,marketplace,20-30k,unknown,unknown,unknown,memory,181,low,1,Детские товары,6,0.0331,0.0153,0.0704,234.49,,,,,Одеяло,4,0.0221,0.0086,0.0554,128.55,,,,,Одежда для дома,2,0.011,0.003,0.0394,12701.0,Другая мебель,3,0.0166,0.0057,0.0476,7449.49
pillow,marketplace,1-2k,unknown,unknown,unknown,orthopedic,639491,high,1,Детские товары,15367,0.024,0.0237,0.0244,27.58,Суббота,Ночь (00-05),2025-12,448152.53,Наволочка,12187,0.0191,0.0187,0.0194,20.89,Суббота,Ночь (00-05),2025-08,86309.69,Другая мебель,9194,0.0144,0.0141,0.0147,2393.57,Постельное белье,6419,0.01,0.0098,0.0103,2014.29
pillow,marketplace,1-2k,unknown,unknown,unknown,synthetic,1554,medium,1,Одеяло,32,0.0206,0.0146,0.0289,42.94,,,,,Наматрасник/топпер,28,0.018,0.0125,0.0259,44.03,,,,,Одеяло,32,0.0206,0.0146,0.0289,2085.26,Наволочка,43,0.0277,0.0206,0.0371,937.82
pillow,marketplace,1-2k,unknown,unknown,unknown,unknown,68292,high,1,Детские товары,5150,0.0754,0.0735,0.0774,87.79,Четверг,Ночь (00-05),2025-08,154368.62,Наволочка,4674,0.0684,0.0666,0.0704,84.49,Вторник,Ночь (00-05),2024-02,26214.63,Другая мебель,2791,0.0409,0.0394,0.0424,2240.81,Постельное белье,2571,0.0376,0.0362,0.0391,1988.4
pillow,marketplace,20-30k,unknown,unknown,unknown,unknown,180,low,1,Наволочка,7,0.0389,0.019,0.0781,179.01,,,,,Постельное белье,5,0.0278,0.0119,0.0634,520.76,,,,,Матрас,1,0.0056,0.001,0.0308,44838.0,Покрывало,1,0.0056,0.001,0.0308,20990.0
pillow,marketplace,2-3k,unknown,unknown,40x60,anatomic,424,low,1,Наволочка,12,0.0283,0.0163,0.0488,46.73,,,,,Одеяло,5,0.0118,0.005,0.0273,31.57,,,,,Постельное белье,3,0.0071,0.0024,0.0206,3435.0,Хранение/органайзеры,3,0.0071,0.0024,0.0206,3100.33
pillow,marketplace,2-3k,unknown,unknown,40x60,down,512,low,1,Одеяло,20,0.0391,0.0254,0.0596,142.79,,,,,Косметика/гигиена,20,0.0391,0.0254,0.0596,34.8,,,,,Наволочка,34,0.0664,0.0479,0.0914,1659.79,Косметика/гигиена,20,0.0391,0.0254,0.0596,890.84
pillow,marketplace,2-3k,unknown,unknown,40x60,memory,53169,high,1,Наволочка,1110,0.0209,0.0197,0.0221,29.17,Понедельник,День (12-17),2024-08,21723.69,Одеяло,801,0.0151,0.0141,0.0161,39.88,Среда,День (12-17),2024-05,29126.58,Наволочка,1110,0.0209,0.0197,0.0221,1397.31,Детские товары,606,0.0114,0.0105,0.0123,1217.83
pillow,marketplace,2-3k,unknown,unknown,40x60,orthopedic,6331,high,1,Наволочка,184,0.0291,0.0252,0.0335,34.43,,,,,Детские товары,181,0.0286,0.0248,0.033,35.28,,,,,Другая мебель,103,0.0163,0.0134,0.0197,2323.38,Наматрасник/топпер,81,0.0128,0.0103,0.0159,2209.12
pillow,marketplace,2-3k,unknown,unknown,40x60,unknown,808,medium,1,Детские товары,48,0.0594,0.0451,0.0779,62.63,,,,,Одеяло,46,0.0569,0.043,0.0751,124.18,,,,,Постельное белье,34,0.0421,0.0303,0.0582,2060.0,Детские товары,48,0.0594,0.0451,0.0779,1054.26
pillow,marketplace,2-3k,unknown,unknown,50x70,anatomic,42442,high,1,Наволочка,3372,0.0794,0.0769,0.0821,151.71,Четверг,Вечер (18-23),2024-08,41894.99,Косметика/гигиена,2385,0.0562,0.054,0.0584,47.45,Воскресенье,Ночь (00-05),2025-08,37900.28,Другая мебель,1298,0.0306,0.029,0.0323,3639.42,Постельное белье,1750,0.0412,0.0394,0.0432,3397.02
pillow,marketplace,2-3k,unknown,unknown,50x70,down,87645,high,1,Наволочка,4948,0.0565,0.0549,0.058,115.95,Среда,Ночь (00-05),2024-04,52122.62,Косметика/гигиена,2893,0.033,0.0318,0.0342,30.49,Вторник,Ночь (00-05),2025-07,44178.49,Постельное белье,1407,0.0161,0.0152,0.0169,3270.2,Одеяло,5160,0.0589,0.0573,0.0605,2947.42
pillow,marketplace,2-3k,unknown,unknown,50x70,memory,18332,high,1,Косметика/гигиена,565,0.0308,0.0284,0.0334,25.5,Воскресенье,Вечер (18-23),2025-02,4143.79,Одеяло,558,0.0304,0.028,0.033,71.71,Суббота,День (12-17),2024-09,7458.74,Другая мебель,224,0.0122,0.0107,0.0139,2943.09,Одеяло,558,0.0304,0.028,0.033,2355.81
pillow,marketplace,2-3k,unknown,unknown,50x70,orthopedic,14741,high,1,Наволочка,663,0.045,0.0417,0.0484,62.42,Воскресенье,Утро (06-11),2025-08,13753.44,Детские товары,492,0.0334,0.0306,0.0364,40.63,,,2025-08,45777.27,Другая мебель,298,0.0202,0.0181,0.0226,3599.01,Постельное белье,278,0.0189,0.0168,0.0212,2673.42
pillow,marketplace,2-3k,unknown,unknown,50x70,synthetic,5576,high,1,Наволочка,330,0.0592,0.0533,0.0657,131.5,,,2025-09,29455.92,Косметика/гигиена,186,0.0334,0.029,0.0384,37.63,,,,,Другая мебель,79,0.0142,0.0114,0.0176,3438.68,Одеяло,482,0.0864,0.0793,0.0941,3172.3
pillow,marketplace,2-3k,unknown,unknown,50x70,unknown,99321,high,1,Наволочка,7018,0.0707,0.0691,0.0723,132.26,Воскресенье,Ночь (00-05),2025-08,94676.88,Косметика/гигиена,5754,0.0579,0.0565,0.0594,49.84,Среда,Ночь (00-05),2025-08,87027.8,Постельное белье,4026,0.0405,0.0393,0.0418,3198.78,Другая мебель,3176,0.032,0.0309,0.0331,2952.26
pillow,marketplace,2-3k,unknown,unknown,60x60,down,1083,medium,1,Косметика/гигиена,43,0.0397,0.0296,0.0531,23.9,,,,,Одеяло,31,0.0286,0.0202,0.0403,70.8,,,,,Наволочка,52,0.048,0.0368,0.0624,926.62,Косметика/гигиена,43,0.0397,0.0296,0.0531,601.83
pillow,marketplace,2-3k,unknown,unknown,70x70,anatomic,26191,high,1,Наволочка,1634,0.0624,0.0595,0.0654,106.18,Понедельник,Вечер (18-23),2025-05,32366.21,Постельное белье,1269,0.0485,0.0459,0.0511,128.54,Понедельник,Ночь (00-05),2025-08,85701.74,Другая мебель,659,0.0252,0.0233,0.0271,3398.44,Постельное белье,1269,0.0485,0.0459,0.0511,2652.9
pillow,marketplace,2-3k,unknown,unknown,70x70,down,109816,high,1,Наволочка,5894,0.0537,0.0524,0.055,96.95,Воскресенье,Вечер (18-23),2024-04,74984.64,Косметика/гигиена,3082,0.0281,0.0271,0.0291,21.78,Вторник,Ночь (00-05),2025-08,41713.48,Постельное белье,2377,0.0216,0.0208,0.0225,2442.21,Одеяло,6000,0.0546,0.0533,0.056,2373.69
pillow,marketplace,2-3k,unknown,unknown,70x70,memory,1751,medium,1,Косметика/гигиена,67,0.0383,0.0302,0.0483,25.25,,,,,Одеяло,53,0.0303,0.0232,0.0394,72.23,,,,,Постельное белье,43,0.0246,0.0183,0.0329,2230.36,Наволочка,67,0.0383,0.0302,0.0483,1765.5
pillow,marketplace,2-3k,unknown,unknown,70x70,orthopedic,1435,medium,1,Наволочка,74,0.0516,0.0413,0.0643,77.63,,,,,Одеяло,74,0.0516,0.0413,0.0643,136.6,,,,,Постельное белье,61,0.0425,0.0332,0.0542,2417.65,Другая мебель,39,0.0272,0.0199,0.0369,1943.95
pillow,marketplace,2-3k,unknown,unknown,70x70,synthetic,5656,high,1,Наволочка,355,0.0628,0.0567,0.0694,129.36,,,2024-02,23363.33,Косметика/гигиена,146,0.0258,0.022,0.0303,19.14,,,,,Постельное белье,97,0.0171,0.0141,0.0209,2289.05,Одеяло,373,0.0659,0.0598,0.0727,2211.79
pillow,marketplace,2-3k,unknown,unknown,70x70,unknown,83093,high,1,Наволочка,5955,0.0717,0.0699,0.0734,115.71,Пятница,Вечер (18-23),2025-06,47520.22,Косметика/гигиена,5304,0.0638,0.0622,0.0655,48.68,Пятница,Ночь (00-05),2025-08,77812.95,Другая мебель,3052,0.0367,0.0355,0.038,2832.44,Постельное белье,5253,0.0632,0.0616,0.0649,2549.96
pillow,marketplace,2-3k,unknown,unknown,unknown,anatomic,17684,high,1,Наволочка,460,0.026,0.0238,0.0285,45.63,Понедельник,День (12-17),2024-04,12303.17,Одеяло,460,0.026,0.0238,0.0285,59.92,Воскресенье,День (12-17),2024-04,22944.29,Другая мебель,183,0.0103,0.009,0.0119,3556.08,Одеяло,460,0.026,0.0238,0.0285,2303.44
pillow,marketplace,2-3k,unknown,unknown,unknown,down,14691,high,1,Одеяло,569,0.0387,0.0357,0.042,113.74,Воскресенье,Вечер (18-23),2024-09,45391.4,Косметика/гигиена,389,0.0265,0.024,0.0292,24.2,,,,,Постельное белье,147,0.01,0.0085,0.0117,2768.54,Другая мебель,173,0.0118,0.0102,0.0137,2673.73
pillow,marketplace,2-3k,unknown,unknown,unknown,memory,144715,high,1,Наволочка,2980,0.0206,0.0199,0.0213,32.57,Среда,Утро (06-11),2024-06,21684.98,Детские товары,2774,0.0192,0.0185,0.0199,23.55,Воскресенье,Ночь (00-05),2025-12,61543.97,Одеяло,2178,0.0151,0.0144,0.0157,2395.3,Наволочка,2980,0.0206,0.0199,0.0213,1581.45
pillow,marketplace,2-3k,unknown,unknown,unknown,orthopedic,175909,high,1,Детские товары,3962,0.0225,0.0218,0.0232,27.87,Четверг,Ночь (00-05),2025-12,122821.76,Наволочка,3590,0.0204,0.0198,0.0211,28.91,Вторник,Ночь (00-05),2025-08,27895.94,Другая мебель,2527,0.0144,0.0138,0.0149,2655.56,Одеяло,2593,0.0147,0.0142,0.0153,2279.96
pillow,marketplace,2-3k,unknown,unknown,unknown,unknown,29513,high,1,Детские товары,2414,0.0818,0.0787,0.085,101.59,Суббота,Ночь (00-05),2025-08,60270.53,Одеяло,1874,0.0635,0.0608,0.0663,123.79,Воскресенье,Ночь (00-05),2025-07,36412.3,Постельное белье,1260,0.0427,0.0404,0.0451,2324.24,Другая мебель,1428,0.0484,0.046,0.0509,2318.43
pillow,marketplace,3-5k,unknown,unknown,40x60,anatomic,591,low,1,Кухонный текстиль,6,0.0102,0.0047,0.022,3.12,,,,,Другая мебель,6,0.0102,0.0047,0.022,54.75,,,,,Декор,1,0.0017,0.0003,0.0095,10615.0,Постельное белье,1,0.0017,0.0003,0.0095,7244.0
pillow,marketplace,3-5k,unknown,unknown,40x60,memory,17762,high,1,Косметика/гигиена,476,0.0268,0.0245,0.0293,29.05,Среда,Вечер (18-23),2025-01,2450.57,Наволочка,463,0.0261,0.0238,0.0285,48.85,Вторник,Вечер (18-23),2024-12,18167.79,Другая мебель,193,0.0109,0.0094,0.0125,4893.61,Одеяло,486,0.0274,0.0251,0.0299,3096.23
pillow,marketplace,3-5k,unknown,unknown,40x60,orthopedic,3830,high,1,Наволочка,159,0.0415,0.0356,0.0483,68.11,,,,,Одеяло,156,0.0407,0.0349,0.0475,114.81,,,,,Другая мебель,73,0.0191,0.0152,0.0239,3927.66,Одеяло,156,0.0407,0.0349,0.0475,2818.69
pillow,marketplace,3-5k,unknown,unknown,40x60,unknown,620,low,1,Косметика/гигиена,29,0.0468,0.0328,0.0664,39.77,,,,,Одеяло,27,0.0435,0.0301,0.0626,142.22,,,,,Детские товары,37,0.0597,0.0436,0.0812,1719.73,Наволочка,22,0.0355,0.0235,0.0531,1681.88
pillow,marketplace,3-5k,unknown,unknown,50x70,anatomic,26076,high,1,Наволочка,2026,0.0777,0.0745,0.081,202.92,Воскресенье,День (12-17),2024-10,63847.73,Косметика/гигиена,1410,0.0541,0.0514,0.0569,60.27,Четверг,Ночь (00-05),2025-08,33502.24,Постельное белье,951,0.0365,0.0343,0.0388,4428.27,Другая мебель,699,0.0268,0.0249,0.0288,4307.79
pillow,marketplace,3-5k,unknown,unknown,50x70,down,60442,high,1,Наволочка,3194,0.0528,0.0511,0.0547,148.34,Пятница,Вечер (18-23),2024-08,41816.87,Косметика/гигиена,1988,0.0329,0.0315,0.0343,35.12,Четверг,Ночь (00-05),2025-08,24365.3,Одеяло,3842,0.0636,0.0616,0.0655,4206.91,Другая мебель,899,0.0149,0.0139,0.0159,3682.57
pillow,marketplace,3-5k,unknown,unknown,50x70,memory,10098,high,1,Одеяло,540,0.0535,0.0493,0.058,153.17,Четверг,Вечер (18-23),2024-10,42137.59,Косметика/гигиена,336,0.0333,0.0299,0.037,32.25,,,,,Другая мебель,191,0.0189,0.0164,0.0218,3824.95,Постельное белье,158,0.0156,0.0134,0.0183,3576.23
pillow,marketplace,3-5k,unknown,unknown,50x70,orthopedic,5423,high,1,Косметика/гигиена,281,0.0518,0.0462,0.058,46.98,,,2025-08,9009.39,Одеяло,272,0.0502,0.0447,0.0563,138.23,,,,,Другая мебель,114,0.021,0.0175,0.0252,3294.23,Постельное белье,139,0.0256,0.0217,0.0302,3238.11
pillow,marketplace,3-5k,unknown,unknown,50x70,synthetic,4093,high,1,Наволочка,247,0.0603,0.0535,0.0681,170.54,,,,,Косметика/гигиена,131,0.032,0.027,0.0379,37.97,,,,,Другая мебель,67,0.0164,0.0129,0.0207,6304.32,Одеяло,344,0.084,0.0759,0.0929,4793.45
pillow,marketplace,3-5k,unknown,unknown,50x70,unknown,72441,high,1,Наволочка,4218,0.0582,0.0565,0.06,155.94,Суббота,День (12-17),2025-08,77078.59,Косметика/гигиена,3768,0.052,0.0504,0.0537,54.11,Понедельник,Ночь (00-05),2025-08,80738.96,Постельное белье,2342,0.0323,0.0311,0.0336,4319.15,Другая мебель,1837,0.0254,0.0242,0.0265,3874.44
pillow,marketplace,3-5k,unknown,unknown,60x60,down,385,low,1,Наволочка,12,0.0312,0.0179,0.0537,35.6,,,,,Другая мебель,8,0.0208,0.0106,0.0405,41.36,,,,,Наматрасник/топпер,3,0.0078,0.0027,0.0227,3987.67,Матрас,6,0.0156,0.0072,0.0336,3646.5
pillow,marketplace,3-5k,unknown,unknown,70x70,anatomic,11488,high,1,Наволочка,804,0.07,0.0655,0.0748,161.72,Воскресенье,Вечер (18-23),2024-11,20135.05,Косметика/гигиена,478,0.0416,0.0381,0.0454,40.48,,,2025-07,14783.07,Другая мебель,262,0.0228,0.0202,0.0257,3830.67,Постельное белье,470,0.0409,0.0374,0.0447,3171.83
pillow,marketplace,3-5k,unknown,unknown,70x70,down,52118,high,1,Наволочка,2650,0.0508,0.049,0.0528,110.62,Среда,Вечер (18-23),2024-01,66877.36,Косметика/гигиена,1420,0.0272,0.0259,0.0287,25.78,Понедельник,Ночь (00-05),2025-10,23407.86,Одеяло,2890,0.0555,0.0535,0.0574,3331.53,Постельное белье,1038,0.0199,0.0188,0.0212,3226.31
pillow,marketplace,3-5k,unknown,unknown,70x70,memory,669,low,1,Одеяло,23,0.0344,0.023,0.0511,84.16,,,,,Косметика/гигиена,22,0.0329,0.0218,0.0493,24.89,,,,,Наволочка,37,0.0553,0.0404,0.0753,1920.94,Косметика/гигиена,22,0.0329,0.0218,0.0493,756.91
pillow,marketplace,3-5k,unknown,unknown,70x70,orthopedic,745,medium,1,Детские товары,37,0.0497,0.0362,0.0677,69.66,,,,,Косметика/гигиена,34,0.0456,0.0328,0.0631,25.0,,,,,Наволочка,38,0.051,0.0374,0.0692,1747.91,Детские товары,37,0.0497,0.0362,0.0677,1402.54
pillow,marketplace,3-5k,unknown,unknown,70x70,synthetic,3794,high,1,Наволочка,253,0.0667,0.0592,0.0751,178.64,,,2024-02,24822.66,Косметика/гигиена,117,0.0308,0.0258,0.0368,29.6,,,,,Постельное белье,66,0.0174,0.0137,0.0221,3509.64,Одеяло,262,0.0691,0.0614,0.0776,3212.81
pillow,marketplace,3-5k,unknown,unknown,70x70,unknown,29541,high,1,Наволочка,2166,0.0733,0.0704,0.0764,166.94,Пятница,Ночь (00-05),2024-01,39604.74,Косметика/гигиена,1727,0.0585,0.0558,0.0612,52.93,Суббота,Ночь (00-05),2025-08,50815.29,Другая мебель,930,0.0315,0.0296,0.0335,3439.35,Постельное белье,1568,0.0531,0.0506,0.0557,3185.0
pillow,marketplace,3-5k,unknown,unknown,unknown,anatomic,15254,high,1,Одеяло,338,0.0222,0.0199,0.0246,74.55,,,2024-01,71132.16,Наволочка,315,0.0207,0.0185,0.023,48.6,,,2024-02,0,Одеяло,338,0.0222,0.0199,0.0246,3364.45,Наволочка,315,0.0207,0.0185,0.023,2353.5
pillow,marketplace,3-5k,unknown,unknown,unknown,down,11691,high,1,Одеяло,554,0.0474,0.0437,0.0514,206.13,Четверг,День (12-17),2024-11,45255.58,Косметика/гигиена,266,0.0228,0.0202,0.0256,22.18,,,,,Другая мебель,133,0.0114,0.0096,0.0135,3978.38,Постельное белье,139,0.0119,0.0101,0.014,3385.62
pillow,marketplace,3-5k,unknown,unknown,unknown,memory,66396,high,1,Наволочка,1592,0.024,0.0228,0.0252,45.59,Суббота,Вечер (18-23),2025-07,43244.64,Одеяло,1338,0.0202,0.0191,0.0212,58.02,Вторник,Вечер (18-23),2025-05,32577.74,Другая мебель,920,0.0139,0.013,0.0148,3805.69,Одеяло,1338,0.0202,0.0191,0.0212,2878.92
pillow,marketplace,3-5k,unknown,unknown,unknown,orthopedic,101436,high,1,Наволочка,2451,0.0242,0.0232,0.0251,39.15,Воскресенье,Ночь (00-05),2025-05,37973.86,Детские товары,2335,0.023,0.0221,0.024,32.31,Суббота,Ночь (00-05),2025-12,70877.46,Другая мебель,1449,0.0143,0.0136,0.015,3470.62,Одеяло,1901,0.0187,0.0179,0.0196,2853.31
pillow,marketplace,3-5k,unknown,unknown,unknown,unknown,21596,high,1,Детские товары,1413,0.0654,0.0622,0.0688,88.59,Суббота,Ночь (00-05),2025-08,57702.38,Одеяло,1125,0.0521,0.0492,0.0551,144.08,Понедельник,Ночь (00-05),2025-08,53069.34,Другая мебель,836,0.0387,0.0362,0.0414,3156.03,Постельное белье,733,0.0339,0.0316,0.0364,3089.59
pillow,marketplace,5-10k,unknown,unknown,40x60,anatomic,168,low,1,Ковры/коврики,2,0.0119,0.0033,0.0424,14.95,,,,,Хранение/органайзеры,2,0.0119,0.0033,0.0424,8.9,,,,,Наматрасник/топпер,1,0.006,0.0011,0.0329,4859.0,Покрывало,1,0.006,0.0011,0.0329,4361.0
pillow,marketplace,5-10k,unknown,unknown,40x60,down,156,low,1,Косметика/гигиена,5,0.0321,0.0138,0.0728,30.54,,,,,Наволочка,4,0.0256,0.01,0.0641,39.87,,,,,Постельное белье,2,0.0128,0.0035,0.0455,3842.5,Одежда для дома,1,0.0064,0.0011,0.0354,2416.0
pillow,marketplace,5-10k,unknown,unknown,40x60,memory,4982,high,1,Наволочка,210,0.0422,0.0369,0.0481,113.32,,,,,Косметика/гигиена,131,0.0263,0.0222,0.0311,37.87,,,,,Другая мебель,66,0.0132,0.0104,0.0168,5764.65,Одеяло,232,0.0466,0.0411,0.0528,3929.01
pillow,marketplace,5-10k,unknown,unknown,40x60,orthopedic,630,medium,1,Одеяло,38,0.0603,0.0443,0.0817,241.78,,,,,Простыня,32,0.0508,0.0362,0.0708,80.33,,,,,Наволочка,38,0.0603,0.0443,0.0817,2519.0,Простыня,32,0.0508,0.0362,0.0708,1581.51
pillow,marketplace,5-10k,unknown,unknown,40x60,unknown,200,low,1,Детские товары,17,0.085,0.0537,0.1319,230.76,,,,,Одеяло,14,0.07,0.0422,0.1141,653.06,,,,,Матрас,4,0.02,0.0078,0.0503,11534.0,Одеяло,14,0.07,0.0422,0.1141,9329.36
pillow,marketplace,5-10k,unknown,unknown,50x70,anatomic,5899,high,1,Наволочка,494,0.0837,0.0769,0.0911,367.78,Воскресенье,День (12-17),2024-11,24600.95,Косметика/гигиена,313,0.0531,0.0476,0.0591,80.3,,,2025-08,31349.33,Постельное белье,253,0.0429,0.038,0.0484,6197.82,Другая мебель,200,0.0339,0.0296,0.0388,5681.36
pillow,marketplace,5-10k,unknown,unknown,50x70,down,25331,high,1,Наволочка,1068,0.0422,0.0398,0.0447,177.12,Четверг,Вечер (18-23),2024-07,48091.34,Косметика/гигиена,719,0.0284,0.0264,0.0305,39.3,Понедельник,Утро (06-11),2025-10,19933.1,Постельное белье,392,0.0155,0.014,0.0171,5839.2,Другая мебель,318,0.0126,0.0113,0.014,5545.65
pillow,marketplace,5-10k,unknown,unknown,50x70,memory,1746,high,1,Наволочка,127,0.0727,0.0615,0.0859,245.57,,,,,Простыня,55,0.0315,0.0243,0.0408,74.7,,,,,Постельное белье,30,0.0172,0.0121,0.0244,8100.03,Другая мебель,47,0.0269,0.0203,0.0356,6287.45
pillow,marketplace,5-10k,unknown,unknown,50x70,orthopedic,1759,medium,1,Косметика/гигиена,95,0.054,0.0444,0.0656,49.65,,,,,Одеяло,88,0.05,0.0408,0.0612,285.33,,,,,Одеяло,88,0.05,0.0408,0.0612,5703.32,Постельное белье,39,0.0222,0.0163,0.0302,4825.09
pillow,marketplace,5-10k,unknown,unknown,50x70,synthetic,1049,medium,1,Наволочка,74,0.0705,0.0566,0.0877,540.93,,,,,Наматрасник/топпер,33,0.0315,0.0225,0.0438,246.44,,,,,Наматрасник/топпер,33,0.0315,0.0225,0.0438,7833.91,Наволочка,74,0.0705,0.0566,0.0877,7668.03
pillow,marketplace,5-10k,unknown,unknown,50x70,unknown,19262,high,1,Наволочка,1157,0.0601,0.0568,0.0635,279.31,Суббота,Вечер (18-23),2025-06,68750.16,Косметика/гигиена,781,0.0405,0.0379,0.0434,54.07,Среда,Вечер (18-23),2025-07,15918.16,Другая мебель,412,0.0214,0.0194,0.0235,6680.6,Одеяло,1811,0.094,0.09,0.0982,6571.97
pillow,marketplace,5-10k,unknown,unknown,70x70,anatomic,2601,high,1,Наволочка,220,0.0846,0.0745,0.0959,292.3,,,,,Косметика/гигиена,112,0.0431,0.0359,0.0516,49.54,,,,,Другая мебель,67,0.0258,0.0203,0.0326,8430.26,Постельное белье,111,0.0427,0.0356,0.0511,4554.09
pillow,marketplace,5-10k,unknown,unknown,70x70,down,19737,high,1,Наволочка,921,0.0467,0.0438,0.0497,153.69,Суббота,Вечер (18-23),2024-04,28454.63,Косметика/гигиена,504,0.0255,0.0234,0.0278,29.14,,,2025-11,19177.53,Другая мебель,266,0.0135,0.012,0.0152,5246.0,Постельное белье,338,0.0171,0.0154,0.019,4723.88
pillow,marketplace,5-10k,unknown,unknown,70x70,orthopedic,134,low,1,Простыня,6,0.0448,0.0207,0.0942,87.1,,,,,Одеяло,6,0.0448,0.0207,0.0942,244.53,,,,,Одеяло,6,0.0448,0.0207,0.0942,5461.2,Сумки/багаж,3,0.0224,0.0076,0.0638,5237.14
pillow,marketplace,5-10k,unknown,unknown,70x70,synthetic,811,medium,1,Наволочка,74,0.0912,0.0733,0.113,373.09,,,,,Косметика/гигиена,25,0.0308,0.021,0.0451,66.4,,,,,Наволочка,74,0.0912,0.0733,0.113,4088.91,Наматрасник/топпер,22,0.0271,0.018,0.0407,3421.52
pillow,marketplace,5-10k,unknown,unknown,70x70,unknown,7539,high,1,Наволочка,483,0.0641,0.0588,0.0698,225.8,,,2024-09,74838.29,Косметика/гигиена,335,0.0444,0.04,0.0493,49.13,,,2025-07,14702.68,Одеяло,739,0.098,0.0915,0.1049,5200.86,Другая мебель,175,0.0232,0.02,0.0269,4990.74
pillow,marketplace,5-10k,unknown,unknown,unknown,anatomic,12674,high,1,Одеяло,286,0.0226,0.0201,0.0253,114.48,,,2024-01,0,Косметика/гигиена,272,0.0215,0.0191,0.0241,23.55,,,2024-01,5670.22,Наволочка,287,0.0226,0.0202,0.0254,2873.66,Детские товары,203,0.016,0.014,0.0184,2107.85
pillow,marketplace,5-10k,unknown,unknown,unknown,down,4711,high,1,Наволочка,213,0.0452,0.0396,0.0515,150.78,,,,,Косметика/гигиена,122,0.0259,0.0217,0.0308,37.52,,,,,Другая мебель,56,0.0119,0.0092,0.0154,6566.2,Постельное белье,58,0.0123,0.0095,0.0159,6301.01
pillow,marketplace,5-10k,unknown,unknown,unknown,memory,20119,high,1,Наволочка,490,0.0244,0.0223,0.0266,65.78,Суббота,День (12-17),2024-01,24876.23,Одеяло,416,0.0207,0.0188,0.0227,87.95,,,,,Другая мебель,261,0.013,0.0115,0.0146,5106.78,Одеяло,416,0.0207,0.0188,0.0227,4253.39
pillow,marketplace,5-10k,unknown,unknown,unknown,orthopedic,33904,high,1,Наволочка,777,0.0229,0.0214,0.0246,52.95,Воскресенье,Вечер (18-23),2024-12,35345.88,Детские товары,624,0.0184,0.017,0.0199,34.72,Суббота,Вечер (18-23),2025-08,13861.57,Другая мебель,391,0.0115,0.0105,0.0127,4541.79,Наволочка,777,0.0229,0.0214,0.0246,2310.31
pillow,marketplace,5-10k,unknown,unknown,unknown,synthetic,146,low,1,Наволочка,10,0.0685,0.0376,0.1215,294.66,,,,,Косметика/гигиена,3,0.0205,0.007,0.0587,29.21,,,,,Постельное белье,2,0.0137,0.0038,0.0486,24060.5,Покрывало,2,0.0137,0.0038,0.0486,19842.0
