target,channel_view,price_bin,mattress_size,mattress_firmness,pillow_size,pillow_type,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_support_2,cross_sell_rate_2,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_2_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross_sell_top_3,cross_sell_support_3,cross_sell_rate_3,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,cross_sell_3_expected_value,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_support_2,upsell_rate_2,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_avg_sum_2,upsell_top_3,upsell_support_3,upsell_rate_3,upsell_rate_3_ci_low,upsell_rate_3_ci_high,upsell_avg_sum_3
pillow,all,2-3k,unknown,unknown,unknown,orthopedic,181254,high,1,Детские товары,4069,0.0224,0.0218,0.0231,28.28,Четверг,Ночь (00-05),2025-12,122034.91,Наволочка,3653,0.0202,0.0195,0.0208,28.46,Пятница,Ночь (00-05),2025-08,28851.91,Другая мебель,2838,0.0157,0.0151,0.0162,4463.7,Одеяло,2898,0.016,0.0154,0.0166,2367.73
pillow,all,2-3k,unknown,unknown,unknown,unknown,36703,high,1,Детские товары,2497,0.068,0.0655,0.0707,86.0,Суббота,Ночь (00-05),2025-08,73145.16,Одеяло,2380,0.0648,0.0624,0.0674,188.29,Понедельник,День (12-17),2024-04,50433.53,Матрас,1692,0.0461,0.044,0.0483,19263.53,Другая мебель,1621,0.0442,0.0421,0.0463,6458.22
pillow,all,3-5k,unknown,unknown,40x60,anatomic,599,low,1,Другая мебель,7,0.0117,0.0057,0.0239,79.71,,,,,Кухонный текстиль,6,0.01,0.0046,0.0217,3.08,,,,,Декор,1,0.0017,0.0003,0.0094,10615.0,Постельное белье,1,0.0017,0.0003,0.0094,7244.0
pillow,all,3-5k,unknown,unknown,40x60,memory,17782,high,1,Косметика/гигиена,476,0.0268,0.0245,0.0292,29.01,Среда,Вечер (18-23),2025-01,2453.43,Наволочка,463,0.026,0.0238,0.0285,48.8,Вторник,Вечер (18-23),2024-12,18164.85,Другая мебель,193,0.0109,0.0094,0.0125,4893.61,Одеяло,486,0.0273,0.025,0.0298,3096.23
pillow,all,3-5k,unknown,unknown,40x60,orthopedic,3866,high,1,Наволочка,160,0.0414,0.0355,0.0481,68.25,,,,,Одеяло,158,0.0409,0.0351,0.0476,114.75,,,,,Другая мебель,73,0.0189,0.015,0.0237,3927.66,Одеяло,158,0.0409,0.0351,0.0476,2807.82
pillow,all,3-5k,unknown,unknown,40x60,unknown,636,low,1,Одеяло,29,0.0456,0.0319,0.0647,146.04,,,,,Косметика/гигиена,29,0.0456,0.0319,0.0647,38.77,,,,,Детские товары,38,0.0597,0.0438,0.0809,1682.76,Наволочка,22,0.0346,0.023,0.0518,1681.88
pillow,all,3-5k,unknown,unknown,50x70,anatomic,26117,high,1,Наволочка,2031,0.0778,0.0746,0.0811,202.72,Воскресенье,День (12-17),2024-10,62910.83,Косметика/гигиена,1411,0.054,0.0513,0.0568,60.38,Четверг,Ночь (00-05),2025-08,33525,Постельное белье,951,0.0364,0.0342,0.0388,4428.27,Другая мебель,699,0.0268,0.0249,0.0288,4307.79
pillow,all,3-5k,unknown,unknown,50x70,down,60677,high,1,Наволочка,3211,0.0529,0.0512,0.0547,148.2,Пятница,Вечер (18-23),2024-08,40261.98,Косметика/гигиена,1991,0.0328,0.0314,0.0343,35.02,Четверг,Ночь (00-05),2025-08,24357.37,Одеяло,3882,0.064,0.0621,0.066,4230.81,Другая мебель,906,0.0149,0.014,0.0159,3821.44
pillow,all,3-5k,unknown,unknown,50x70,memory,10114,high,1,Одеяло,543,0.0537,0.0495,0.0583,154.49,Четверг,Вечер (18-23),2024-10,41594.06,Косметика/гигиена,336,0.0332,0.0299,0.0369,32.2,,,,,Другая мебель,192,0.019,0.0165,0.0218,3807.96,Постельное белье,161,0.0159,0.0137,0.0185,3557.67
pillow,all,3-5k,unknown,unknown,50x70,orthopedic,5440,high,1,Косметика/гигиена,283,0.052,0.0464,0.0582,46.94,,,2025-08,8973.24,Одеяло,273,0.0502,0.0447,0.0563,138.34,,,,,Другая мебель,114,0.021,0.0175,0.0251,3294.23,Постельное белье,139,0.0256,0.0217,0.0301,3238.11
