target,channel,price_bin,weekday,hour_bucket,item,segment_checks,item_checks,segment_rate,baseline_rate,lift,lift_clipped,uplift_pp,avg_attach_sum,opportunity_score,expected_value,segment_reliable,segment_rate_ci_low,segment_rate_ci_high
pillow,non_marketplace,10-20k,Суббота,Утро (06-11),Матрас,478,109,0.228,0.0156,14.629,10.0,21.24,55742.12,5660560.46,12711.07,1,0.1927,0.2677
pillow,non_marketplace,1-2k,Среда,День (12-17),Кровать/каркас,2416,103,0.0426,0.0041,10.447,10.0,3.86,23446.45,2183810.29,999.58,1,0.0353,0.0514
pillow,non_marketplace,5-10k,Вторник,День (12-17),Кровать/каркас,1685,102,0.0605,0.0041,14.833,10.0,5.65,37340.77,3551985.55,2260.39,1,0.0501,0.073
pillow,non_marketplace,3-5k,Суббота,День (12-17),Кровать/каркас,1654,96,0.058,0.0041,14.222,10.0,5.4,30169.86,2692660.84,1751.09,1,0.0478,0.0704
pillow,non_marketplace,2-3k,Суббота,День (12-17),Кровать/каркас,1740,91,0.0523,0.0041,12.815,10.0,4.82,32215.79,2702875.28,1684.85,1,0.0428,0.0638
mattress,non_marketplace,30-50k,Суббота,День (12-17),Основание/ламели,530,90,0.1698,0.0167,10.189,10.0,15.31,9979.32,809989.54,1694.6,1,0.1402,0.2041
pillow,non_marketplace,3-5k,Вторник,День (12-17),Кровать/каркас,1253,89,0.071,0.0041,17.405,10.0,6.69,31858.81,2672524.3,2262.92,1,0.0581,0.0866
pillow,non_marketplace,5-10k,Четверг,День (12-17),Кровать/каркас,1768,87,0.0492,0.0041,12.058,10.0,4.51,40651.4,3243364.16,2000.38,1,0.0401,0.0603
pillow,non_marketplace,5-10k,Пятница,День (12-17),Кровать/каркас,1922,87,0.0453,0.0041,11.092,10.0,4.12,35878.06,2839975.61,1624.03,1,0.0368,0.0555
pillow,non_marketplace,5-10k,Вторник,Ночь (00-05),Другая мебель,192,86,0.4479,0.0223,20.055,10.0,42.56,40138.86,3279817.43,17978.87,1,0.3793,0.5186
pillow,non_marketplace,3-5k,Среда,День (12-17),Кровать/каркас,1288,84,0.0652,0.0041,15.981,10.0,6.11,37109.68,2922152.55,2420.2,1,0.053,0.08
pillow,non_marketplace,5-10k,Понедельник,День (12-17),Кровать/каркас,1786,83,0.0465,0.0041,11.388,10.0,4.24,34623.11,2621362.48,1609.02,1,0.0376,0.0572
pillow,non_marketplace,5-10k,Среда,День (12-17),Кровать/каркас,1720,79,0.0459,0.0041,11.255,10.0,4.18,38563.46,2775824.35,1771.23,1,0.037,0.0569
pillow,non_marketplace,3-5k,Понедельник,День (12-17),Кровать/каркас,1357,78,0.0575,0.0041,14.085,10.0,5.34,33633.46,2437151.27,1933.24,1,0.0463,0.0712
pillow,non_marketplace,5-10k,Суббота,Вечер (18-23),Кровать/каркас,1225,76,0.062,0.0041,15.202,10.0,5.8,35529.97,2522655.82,2204.31,1,0.0499,0.077
pillow,non_marketplace,2-3k,Вторник,День (12-17),Кровать/каркас,1372,76,0.0554,0.0041,13.574,10.0,5.13,33952.52,2390287.2,1880.75,1,0.0445,0.0688
pillow,non_marketplace,3-5k,Четверг,День (12-17),Кровать/каркас,1327,75,0.0565,0.0041,13.849,10.0,5.24,27544.29,1916656.31,1556.76,1,0.0453,0.0703
pillow,non_marketplace,2-3k,Пятница,День (12-17),Кровать/каркас,1428,74,0.0518,0.0041,12.698,10.0,4.77,32028.56,2183462.09,1659.74,1,0.0415,0.0646
pillow,non_marketplace,5-10k,Среда,Ночь (00-05),Другая мебель,176,72,0.4091,0.0223,18.317,10.0,38.68,50096.53,3410026.84,20494.03,1,0.3391,0.4829
pillow,non_marketplace,3-5k,Пятница,День (12-17),Кровать/каркас,1303,70,0.0537,0.0041,13.164,10.0,4.96,38179.0,2469511.98,2051.06,1,0.0427,0.0673
pillow,non_marketplace,3-5k,Воскресенье,День (12-17),Кровать/каркас,1650,70,0.0424,0.0041,10.396,10.0,3.83,32111.14,2031555.13,1362.29,1,0.0337,0.0533
pillow,non_marketplace,10-20k,Пятница,День (12-17),Кровать/каркас,1346,67,0.0498,0.0041,12.197,10.0,4.57,54581.83,3357164.18,2716.93,1,0.0394,0.0627
pillow,non_marketplace,10-20k,Вторник,День (12-17),Кровать/каркас,1363,67,0.0492,0.0041,12.045,10.0,4.51,51939.88,3191062.13,2553.17,1,0.0389,0.062
pillow,non_marketplace,5-10k,Воскресенье,Ночь (00-05),Другая мебель,173,67,0.3873,0.0223,17.34,10.0,36.49,47909.51,3024821.02,18554.55,1,0.3179,0.4616
mattress,non_marketplace,30-50k,Четверг,День (12-17),Основание/ламели,355,66,0.1859,0.0167,11.155,10.0,16.92,12130.73,728855.49,2255.29,1,0.1489,0.2297
mattress,all,30-50k,Четверг,День (12-17),Основание/ламели,389,66,0.1697,0.0167,10.18,10.0,15.3,12130.73,721981.51,2058.17,1,0.1356,0.2102
pillow,non_marketplace,5-10k,Понедельник,Ночь (00-05),Другая мебель,160,65,0.4062,0.0223,18.189,10.0,38.39,42815.17,2629984.99,17393.66,1,0.3332,0.4837
pillow,non_marketplace,5-10k,Суббота,Утро (06-11),Кровать/каркас,893,65,0.0728,0.0041,17.836,10.0,6.87,38934.98,2388881.79,2834.01,1,0.0575,0.0917
pillow,non_marketplace,2-3k,Среда,День (12-17),Кровать/каркас,1245,64,0.0514,0.0041,12.596,10.0,4.73,27852.89,1641068.86,1431.79,1,0.0405,0.0651
pillow,non_marketplace,5-10k,Четверг,Ночь (00-05),Другая мебель,181,63,0.3481,0.0223,15.584,10.0,32.57,42277.97,2492601.2,14715.54,1,0.2825,0.42
pillow,non_marketplace,5-10k,Пятница,Ночь (00-05),Другая мебель,177,62,0.3503,0.0223,15.683,10.0,32.79,47545.09,2759839.85,16654.21,1,0.2839,0.4231
pillow,non_marketplace,10-20k,Четверг,День (12-17),Кровать/каркас,1314,61,0.0464,0.0041,11.375,10.0,4.23,58209.4,3238630.3,2702.26,1,0.0363,0.0592
pillow,non_marketplace,10-20k,Воскресенье,День (12-17),Кровать/каркас,1387,61,0.044,0.0041,10.777,10.0,3.99,53393.98,2954804.78,2348.26,1,0.0344,0.0561
mattress,non_marketplace,30-50k,Вторник,День (12-17),Основание/ламели,337,59,0.1751,0.0167,10.505,10.0,15.84,19259.16,1028119.91,3371.78,1,0.1382,0.2192
pillow,non_marketplace,5-10k,Вторник,Утро (06-11),Кровать/каркас,736,58,0.0788,0.0041,19.31,10.0,7.47,36826.8,2025341.09,2902.11,1,0.0615,0.1005
pillow,non_marketplace,1-2k,Среда,Утро (06-11),Кровать/каркас,1421,58,0.0408,0.0041,10.002,10.0,3.67,24375.87,1272442.71,994.93,1,0.0317,0.0524
mattress,non_marketplace,50-100k,Суббота,День (12-17),Основание/ламели,338,58,0.1716,0.0167,10.296,10.0,15.49,14068.38,736715.08,2414.1,1,0.1351,0.2154
mattress,all,50-100k,Суббота,День (12-17),Основание/ламели,344,58,0.1686,0.0167,10.116,10.0,15.19,14068.38,735308.26,2371.99,1,0.1327,0.2118
mattress,non_marketplace,50-100k,Пятница,День (12-17),Основание/ламели,252,57,0.2262,0.0167,13.572,10.0,20.95,15731.24,830610.38,3558.26,1,0.1789,0.2817
mattress,all,50-100k,Пятница,День (12-17),Основание/ламели,257,57,0.2218,0.0167,13.308,10.0,20.51,15731.24,829299.47,3489.03,1,0.1753,0.2765
pillow,non_marketplace,3-5k,Воскресенье,Вечер (18-23),Кровать/каркас,866,54,0.0624,0.0041,15.28,10.0,5.83,30271.54,1527679.6,1887.6,1,0.0481,0.0805
pillow,non_marketplace,2-3k,Понедельник,День (12-17),Кровать/каркас,1300,54,0.0415,0.0041,10.179,10.0,3.75,31068.9,1512890.99,1290.55,1,0.032,0.0538
pillow,non_marketplace,5-10k,Суббота,Ночь (00-05),Другая мебель,153,53,0.3464,0.0223,15.51,10.0,32.41,38853.85,1926483.4,13459.18,1,0.2756,0.4247
pillow,non_marketplace,5-10k,Вторник,Вечер (18-23),Кровать/каркас,937,51,0.0544,0.0041,13.337,10.0,5.03,36021.51,1699354.68,1960.62,1,0.0416,0.0709
pillow,non_marketplace,3-5k,Среда,Утро (06-11),Кровать/каркас,650,50,0.0769,0.0041,18.849,10.0,7.28,35133.27,1663467.36,2702.56,1,0.0588,0.1
pillow,non_marketplace,5-10k,Суббота,День (12-17),Основание/ламели,2735,50,0.0183,0.0005,38.818,10.0,1.78,12574.29,612518.08,229.88,1,0.0139,0.024
pillow,all,5-10k,Вторник,День (12-17),Основание/ламели,10381,49,0.0047,0.0005,10.022,10.0,0.42,17765.34,783646.93,83.86,1,0.0036,0.0062
pillow,non_marketplace,5-10k,Четверг,День (12-17),Основание/ламели,1768,49,0.0277,0.0005,58.848,10.0,2.72,14504.41,698638.75,401.99,1,0.021,0.0365
mattress,non_marketplace,50-100k,Воскресенье,День (12-17),Основание/ламели,251,48,0.1912,0.0167,11.474,10.0,17.46,11037.57,483630.01,2110.77,1,0.1474,0.2444
mattress,all,50-100k,Воскресенье,День (12-17),Основание/ламели,255,48,0.1882,0.0167,11.294,10.0,17.16,11037.57,482894.19,2077.66,1,0.145,0.2407
pillow,non_marketplace,5-10k,Пятница,Вечер (18-23),Кровать/каркас,996,47,0.0472,0.0041,11.563,10.0,4.31,39307.34,1687673.77,1854.86,1,0.0357,0.0622
mattress,non_marketplace,50-100k,Вторник,День (12-17),Основание/ламели,206,47,0.2282,0.0167,13.69,10.0,21.15,23822.05,1037848.54,5435.13,1,0.1761,0.2901
mattress,all,50-100k,Вторник,День (12-17),Основание/ламели,207,47,0.2271,0.0167,13.623,10.0,21.04,23822.05,1037451.52,5408.87,1,0.1753,0.2888
pillow,non_marketplace,5-10k,Вторник,День (12-17),Основание/ламели,1685,47,0.0279,0.0005,59.227,10.0,2.74,18274.43,844396.34,509.73,1,0.021,0.0369
mattress,non_marketplace,50-100k,Среда,День (12-17),Основание/ламели,206,47,0.2282,0.0167,13.69,10.0,21.15,15167.81,660811.45,3460.62,1,0.1761,0.2901
mattress,all,50-100k,Среда,День (12-17),Основание/ламели,210,47,0.2238,0.0167,13.429,10.0,20.71,15167.81,659800.28,3394.7,1,0.1727,0.2849
mattress,non_marketplace,50-100k,Четверг,День (12-17),Основание/ламели,212,47,0.2217,0.0167,13.302,10.0,20.5,12527.78,544541.49,2777.39,1,0.171,0.2823
mattress,all,50-100k,Четверг,День (12-17),Основание/ламели,221,47,0.2127,0.0167,12.76,10.0,19.6,12527.78,542662.35,2664.28,1,0.1639,0.2713
pillow,non_marketplace,5-10k,Четверг,Утро (06-11),Кровать/каркас,725,46,0.0634,0.0041,15.547,10.0,5.94,34683.71,1492831.51,2200.62,1,0.0479,0.0836
pillow,non_marketplace,3-5k,Вторник,День (12-17),Основание/ламели,1253,45,0.0359,0.0005,76.257,10.0,3.54,14611.22,648882.51,524.74,1,0.0269,0.0477
pillow,non_marketplace,5-10k,Среда,Утро (06-11),Кровать/каркас,728,44,0.0604,0.0041,14.81,10.0,5.64,36517.69,1498285.89,2207.11,1,0.0453,0.0802
mattress,non_marketplace,50-100k,Суббота,Утро (06-11),Основание/ламели,160,43,0.2687,0.0167,16.125,10.0,25.21,13569.99,547323.49,3646.94,1,0.2061,0.3423
mattress,all,50-100k,Суббота,Утро (06-11),Основание/ламели,161,43,0.2671,0.0167,16.025,10.0,25.04,13569.99,547097.33,3624.28,1,0.2047,0.3403
pillow,non_marketplace,3-5k,Понедельник,Вечер (18-23),Кровать/каркас,808,42,0.052,0.0041,12.737,10.0,4.79,27451.39,1062439.07,1426.93,1,0.0387,0.0695
mattress,non_marketplace,50-100k,Понедельник,День (12-17),Основание/ламели,194,42,0.2165,0.0167,12.99,10.0,19.98,20443.53,792528.51,4425.92,1,0.1643,0.2797
mattress,all,50-100k,Понедельник,День (12-17),Основание/ламели,202,42,0.2079,0.0167,12.475,10.0,19.13,20443.53,789802.74,4250.64,1,0.1577,0.2691
pillow,non_marketplace,5-10k,Воскресенье,День (12-17),Основание/ламели,2542,42,0.0165,0.0005,35.083,10.0,1.61,17888.43,729898.59,295.56,1,0.0122,0.0223
pillow,non_marketplace,10-20k,Пятница,День (12-17),Основание/ламели,1346,42,0.0312,0.0005,66.256,10.0,3.07,14920.27,617193.17,465.57,1,0.0232,0.0419
