target,channel_view,channel,pillow_price_bin,price_bin,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_top_3,cross_sell_support_2,cross_sell_support_3,cross_sell_rate_2,cross_sell_rate_3,cross_sell_2_expected_value,cross_sell_3_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_top_3,upsell_support_2,upsell_support_3,upsell_rate_2,upsell_rate_3,upsell_avg_sum_2,upsell_avg_sum_3,pillow_size,pillow_type,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_rate_3_ci_low,upsell_rate_3_ci_high
pillow,all,all,0-1k,0-1k,80775,high,1,Детские товары,Наволочка,7101,3308,0.0879,0.041,99.71,38.13,Пятница,Ночь (00-05),2025-08,152956.94,Пятница,Ночь (00-05),2024-02,36472.86,Другая мебель,Постельное белье,2678,1792,0.0332,0.0222,1851.36,1844.52,unknown,unknown,0.086,0.0899,0.0396,0.0423,0.0319,0.0344,0.0212,0.0232
pillow,all,all,1-2k,1-2k,412,low,1,Наволочка,Детские товары,29,29,0.0704,0.0704,53.8,152.01,,,,,,,,,Постельное белье,Одеяло,24,20,0.0583,0.0485,2113.94,1646.41,40x60,anatomic,0.0495,0.0993,0.0495,0.0993,0.0395,0.0852,0.0316,0.0738
pillow,all,all,1-2k,1-2k,2391,medium,1,Детские товары,Одеяло,88,78,0.0368,0.0326,41.97,82.28,,,,,,,,,Постельное белье,Простыня,40,36,0.0167,0.0151,1942.86,1613.38,40x60,down,0.03,0.0451,0.0262,0.0405,0.0123,0.0227,0.0109,0.0208
pillow,all,all,1-2k,1-2k,49603,high,1,Наволочка,Детские товары,764,659,0.0154,0.0133,19.8,17.31,Среда,Вечер (18-23),2024-02,25191.05,Четверг,Вечер (18-23),2024-02,8427.65,Детские товары,Наволочка,659,764,0.0133,0.0154,1302.55,1285.26,40x60,memory,0.0144,0.0165,0.0123,0.0143,0.0123,0.0143,0.0144,0.0165
pillow,all,all,1-2k,1-2k,21325,high,1,Детские товары,Наволочка,726,497,0.034,0.0233,44.34,24.6,Четверг,Ночь (00-05),2025-08,46225.21,,,2024-11,6555.94,Другая мебель,Постельное белье,290,253,0.0136,0.0119,2119.6,2114.47,40x60,orthopedic,0.0317,0.0366,0.0214,0.0254,0.0121,0.0152,0.0105,0.0134
pillow,all,all,1-2k,1-2k,3080,high,1,Косметика/гигиена,Наволочка,146,112,0.0474,0.0364,35.09,32.47,,,,,,,,,Другая мебель,Постельное белье,76,63,0.0247,0.0205,2811.36,2117.59,40x60,unknown,0.0404,0.0555,0.0303,0.0436,0.0198,0.0308,0.016,0.0261
pillow,all,all,1-2k,1-2k,118416,high,1,Наволочка,Косметика/гигиена,7858,6673,0.0664,0.0564,98.16,43.5,Суббота,Вечер (18-23),2024-04,55300.19,Пятница,Ночь (00-05),2025-08,82767.86,Другая мебель,Постельное белье,3056,3999,0.0258,0.0338,3013.88,2706.59,50x70,anatomic,0.065,0.0678,0.0551,0.0577,0.0249,0.0267,0.0328,0.0348
pillow,all,all,1-2k,1-2k,273922,high,1,Одеяло,Косметика/гигиена,14973,9390,0.0547,0.0343,111.97,26.01,Воскресенье,Ночь (00-05),2024-01,131429.2,Понедельник,Ночь (00-05),2024-03,91187.56,Постельное белье,Одеяло,4688,14973,0.0171,0.0547,2556.61,2048.4,50x70,down,0.0538,0.0555,0.0336,0.035,0.0166,0.0176,0.0538,0.0555
pillow,all,all,1-2k,1-2k,41394,high,1,Косметика/гигиена,Одеяло,1342,1065,0.0324,0.0257,25.22,53.65,Среда,Вечер (18-23),2025-10,10220.85,Понедельник,Вечер (18-23),2024-10,14546.33,Наматрасник/топпер,Одеяло,429,1065,0.0104,0.0257,2368.56,2085.36,50x70,memory,0.0308,0.0342,0.0242,0.0273,0.0094,0.0114,0.0242,0.0273
pillow,all,all,1-2k,1-2k,43665,high,1,Детские товары,Наволочка,2067,1687,0.0473,0.0386,59.65,42.75,Четверг,Ночь (00-05),2025-08,28851.88,Понедельник,Вечер (18-23),2025-08,21964.93,Постельное белье,Другая мебель,1098,963,0.0251,0.0221,2285.66,2279.77,50x70,orthopedic,0.0454,0.0494,0.0369,0.0405,0.0237,0.0267,0.0207,0.0235
pillow,all,all,1-2k,1-2k,27648,high,1,Наволочка,Косметика/гигиена,1847,891,0.0668,0.0322,99.09,25.28,Воскресенье,Вечер (18-23),2024-02,23115.31,Воскресенье,Утро (06-11),2024-03,7446.73,Другая мебель,Постельное белье,463,668,0.0167,0.0242,2639.16,2356.06,50x70,synthetic,0.0639,0.0698,0.0302,0.0344,0.0153,0.0183,0.0224,0.026
pillow,all,all,1-2k,1-2k,417985,high,1,Наволочка,Косметика/гигиена,29931,22964,0.0716,0.0549,101.03,40.91,Суббота,Ночь (00-05),2025-05,223783.31,Суббота,Ночь (00-05),2025-08,310894.57,Другая мебель,Постельное белье,13508,16955,0.0323,0.0406,4394.97,2538.4,50x70,unknown,0.0708,0.0724,0.0543,0.0556,0.0318,0.0329,0.04,0.0412
