target,channel,price_bin,checks_in_segment,rank,brand,checks_with_brand,brand_penetration,brand_penetration_ci_low,brand_penetration_ci_high
pillow,non_marketplace,2-3k,22622,4,raiton,111,0.0049,0.0041,0.0059
pillow,non_marketplace,2-3k,22622,5,medsleep,90,0.004,0.0032,0.0049
pillow,non_marketplace,3-5k,20968,1,trelax,716,0.0341,0.0318,0.0367
pillow,non_marketplace,3-5k,20968,2,medsleep,92,0.0044,0.0036,0.0054
pillow,non_marketplace,3-5k,20968,3,askona,86,0.0041,0.0033,0.0051
pillow,non_marketplace,3-5k,20968,4,askona buyson,72,0.0034,0.0027,0.0043
pillow,non_marketplace,3-5k,20968,5,blue sleep,69,0.0033,0.0026,0.0042
pillow,non_marketplace,5-10k,27891,1,trelax,2397,0.0859,0.0827,0.0893
pillow,non_marketplace,5-10k,27891,2,ormatek,649,0.0233,0.0216,0.0251
pillow,non_marketplace,5-10k,27891,3,medsleep,62,0.0022,0.0017,0.0028
pillow,non_marketplace,5-10k,27891,4,askona,48,0.0017,0.0013,0.0023
pillow,non_marketplace,5-10k,27891,5,togas,43,0.0015,0.0011,0.0021
pillow,non_marketplace,10-20k,17591,1,ormatek,413,0.0235,0.0213,0.0258
pillow,non_marketplace,10-20k,17591,2,trelax,244,0.0139,0.0122,0.0157
pillow,non_marketplace,10-20k,17591,3,kariguz,46,0.0026,0.002,0.0035
pillow,non_marketplace,10-20k,17591,4,togas,24,0.0014,0.0009,0.002
pillow,non_marketplace,10-20k,17591,5,raiton,24,0.0014,0.0009,0.002
pillow,non_marketplace,20-30k,2477,1,ormatek,102,0.0412,0.034,0.0497
pillow,non_marketplace,20-30k,2477,2,tempur,50,0.0202,0.0153,0.0265
pillow,non_marketplace,20-30k,2477,3,kariguz,21,0.0085,0.0056,0.0129
pillow,non_marketplace,20-30k,2477,4,trelax,15,0.0061,0.0037,0.01
pillow,non_marketplace,20-30k,2477,5,german grass,8,0.0032,0.0016,0.0064
pillow,non_marketplace,30k+,1007,1,tempur,114,0.1132,0.0951,0.1343
pillow,non_marketplace,30k+,1007,2,ormatek,54,0.0536,0.0413,0.0693
pillow,non_marketplace,30k+,1007,3,kariguz,20,0.0199,0.0129,0.0305
pillow,non_marketplace,30k+,1007,4,german grass,18,0.0179,0.0113,0.0281
pillow,non_marketplace,30k+,1007,5,togas,6,0.006,0.0027,0.0129
